SInit	Level	Trial	Saliency	Location	congruency	tmsTime	Letter	Srt	SCor
le160	Local	4	1	0	0	0	1	387	1
le160	Local	5	1	0	1	0	0	488	1
le160	Local	6	1	1	0	1	1	448	1
le160	Local	7	1	1	1	0	0	587	1
le160	Local	8	1	1	1	1	1	439	1
le160	Local	9	1	0	1	1	0	434	1
le160	Local	10	1	0	0	0	0	300	1
le160	Local	11	1	0	0	0	0	334	1
le160	Local	12	1	0	0	0	1	533	1
le160	Local	13	1	0	1	1	0	442	1
le160	Local	14	1	1	0	0	0	373	1
le160	Local	15	1	1	0	0	0	528	1
le160	Local	16	1	1	1	1	1	421	1
le160	Local	17	1	0	1	0	1	367	1
le160	Local	18	1	0	0	1	0	442	1
le160	Local	19	1	0	0	0	0	293	1
le160	Local	20	1	0	0	0	0	448	1
le160	Local	21	1	0	1	0	1	507	1
le160	Local	22	1	1	1	0	1	367	1
le160	Local	23	1	1	1	0	0	642	1
le160	Local	24	1	0	0	1	0	436	1
le160	Local	25	1	0	0	1	1	150	0
le160	Local	26	1	1	1	0	0	415	1
le160	Local	27	1	0	0	1	1	631	1
le160	Local	28	1	1	0	1	0	439	1
le160	Local	29	1	0	1	1	0	331	1
le160	Local	30	1	0	1	1	0	403	1
le160	Local	31	1	0	0	1	0	305	1
le160	Local	32	1	0	1	1	0	380	1
